poi_id,image_url
1,"https://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9_de_Aveiro.jpg?width=600"
1,"https://commons.wikimedia.org/wiki/Special:FilePath/Aveiro_Cathedral_-_Interior.jpg?width=600"
2,"https://commons.wikimedia.org/wiki/Special:FilePath/Museu_de_Aveiro_-_Mosteiro_de_Jesus.jpg?width=600"
2,"https://commons.wikimedia.org/wiki/Special:FilePath/Aveiro_Museum_(tomb_of_Princess_Santa_Joana).jpg?width=600"
3,"https://commons.wikimedia.org/wiki/Special:FilePath/Capela_de_S%C3%A3o_Gon%C3%A7alinho%2C_Aveiro.jpg?width=600"
4,"https://commons.wikimedia.org/wiki/Special:FilePath/Igreja_da_Miseric%C3%B3rdia_de_Aveiro.jpg?width=600"
5,"https://commons.wikimedia.org/wiki/Special:FilePath/Casa_Major_Pessoa.JPG?width=600"
6,"https://commons.wikimedia.org/wiki/Special:FilePath/Antiga_Capitania%2C_Aveiro.jpg?width=600"
7,"https://commons.wikimedia.org/wiki/Special:FilePath/Aveiro_Train_Station.jpg?width=600"
7,"https://commons.wikimedia.org/wiki/Special:FilePath/Antiga_Esta%C3%A7%C3%A3o_de_Caminhos_de_Ferro_de_Aveiro.jpg?width=600"
8,"https://commons.wikimedia.org/wiki/Special:FilePath/Farol_da_Barra_(Portugal).jpg?width=600"
8,"https://commons.wikimedia.org/wiki/Special:FilePath/Farol_da_Barra_-_%C3%8Dlhavo.jpg?width=600"
9,"https://commons.wikimedia.org/wiki/Special:FilePath/Capela_Vista_Alegre_-_%C3%8Dlhavo.jpg?width=600"
9,"https://commons.wikimedia.org/wiki/Special:FilePath/Capela_da_Vista_Alegre%2C_%C3%8Dlhavo_-_Altar.jpg?width=600"
10,"https://commons.wikimedia.org/wiki/Special:FilePath/Vista_Alegre.jpg?width=600"
10,"https://commons.wikimedia.org/wiki/Special:FilePath/Vista_Alegre_Museum.jpg?width=600"
11,"https://commons.wikimedia.org/wiki/Special:FilePath/Igreja_Matriz_de_Ovar.jpg?width=600"
12,"https://commons.wikimedia.org/wiki/Special:FilePath/Casa_Museu_J%C3%BAlio_Dinis%2C_Ovar.jpg?width=600"
13,"https://commons.wikimedia.org/wiki/Special:FilePath/Castelo_Santa_Maria_da_Feira.jpg?width=600"
13,"https://commons.wikimedia.org/wiki/Special:FilePath/Castelo_da_Feira.jpg?width=600"
14,"https://commons.wikimedia.org/wiki/Special:FilePath/Igreja_Matriz_de_Santa_Maria_da_Feira.jpg?width=600"
15,"https://commons.wikimedia.org/wiki/Special:FilePath/Convento_dos_L%C3%B3ios_-_Santa_Maria_da_Feira.jpg?width=600"
16,"https://commons.wikimedia.org/wiki/Special:FilePath/Mosteiro_de_Arouca.jpg?width=600"
16,"https://commons.wikimedia.org/wiki/Special:FilePath/Arouca_Monastery_-_Interior.jpg?width=600"
17,"https://commons.wikimedia.org/wiki/Special:FilePath/Igreja_Matriz_de_Arouca.jpg?width=600"
18,"https://commons.wikimedia.org/wiki/Special:FilePath/Ponte_Romana_de_Alian%C3%A7a.jpg?width=600"
